id,billed_quantity,bol_date,bol_number,buyer_name,consignor_name,diverted,destination_state
1,664,3/11/2014,84815,Kazio,Jaloo,true,Florida
2,708,4/19/2014,34913,Chatterbridge,Jabbertype,true,Kentucky
3,951,10/31/2013,67031,Quire,Pixonyx,false,Illinois
4,840,5/7/2014,77732,Yabox,Realfire,false,Minnesota
5,516,3/28/2014,55544,Gevee,Youspan,false,Texas
6,182,8/11/2014,78857,Realcube,Chatterbridge,true,New York
7,112,8/17/2014,53816,Oloo,Meevee,true,Florida
8,557,4/11/2014,46412,Katz,Divavu,false,Ohio
9,729,10/22/2013,18502,Aivee,JumpXS,true,California
10,455,12/20/2013,79603,Fiveclub,Npath,false,New York
11,40,11/20/2013,17203,Mita,Eare,false,California
12,655,1/25/2014,85652,Omba,Browseblab,true,North Carolina
13,744,6/14/2014,18058,Tazzy,Skinder,true,Texas
14,240,8/21/2014,53748,Wikibox,Skyvu,false,Texas
15,690,11/30/2013,98157,Topicshots,Feedfish,false,Ohio
16,342,2/23/2014,80001,Flipbug,Bubblemix,false,New York
17,7,10/11/2013,44500,Youbridge,Dabtype,false,Massachusetts
18,316,2/9/2014,38294,Yakitri,Mita,false,West Virginia
19,1000,10/18/2013,95973,Aibox,Meeveo,true,California
20,103,9/22/2014,1289,Twitterworks,Oyope,true,New Jersey
21,812,12/13/2013,7871,Muxo,Edgeblab,true,Oklahoma
22,919,7/17/2014,12955,Pixonyx,Rhynoodle,true,Virginia
23,778,3/2/2014,55038,Minyx,Quatz,false,New Jersey
24,480,9/29/2014,16663,Riffpedia,Yata,true,Massachusetts
25,558,6/3/2014,70770,Meembee,Tazzy,false,Connecticut
26,159,5/15/2014,10639,Brainfire,Yakidoo,false,Oklahoma
27,62,6/27/2014,64252,Devpulse,Katz,false,New Jersey
28,917,6/29/2014,40897,Layo,Twitterlist,true,California
29,980,5/13/2014,8418,Lajo,Twitterwire,true,New Hampshire
30,341,7/22/2014,98054,Dazzlesphere,Leexo,false,Virginia
31,927,4/2/2014,16502,Wikivu,Meetz,true,Connecticut
32,36,10/17/2013,73905,Voolia,Katz,true,Indiana
33,205,6/21/2014,69121,Kanoodle,Skimia,false,Michigan
34,556,11/29/2013,57401,Trupe,Topicstorm,false,Massachusetts
